Date,"Close Price","20 Day MA","50 Day MA"
2015-01-01,2454.1,2454.10,2454.10
2015-01-02,2453.5,2453.80,2453.80
2015-01-05,2460.15,2455.92,2455.92
2015-01-06,2440.35,2452.02,2452.02
2015-01-07,2447.2,2451.06,2451.06
2015-01-08,2450.05,2450.89,2450.89
2015-01-09,2381.5,2440.98,2440.98
2015-01-12,2333.25,2427.51,2427.51
2015-01-13,2326.25,2416.26,2416.26
2015-01-14,2363.65,2411.00,2411.00
2015-01-15,2417.95,2411.63,2411.63
2015-01-16,2420.05,2412.33,2412.33
2015-01-19,2411.3,2412.25,2412.25
2015-01-20,2411.05,2412.17,2412.17
2015-01-21,2442,2414.16,2414.16
2015-01-22,2438.9,2415.70,2415.70
2015-01-23,2442.2,2417.26,2417.26
2015-01-27,2417.55,2417.28,2417.28
2015-01-28,2396.9,2416.21,2416.21
2015-01-29,2402.7,2415.53,2415.53
2015-01-30,2389.35,2412.29,2414.28
2015-02-02,2347.8,2407.01,2411.26
2015-02-03,2260.1,2397.00,2404.69
2015-02-04,2247.55,2387.37,2398.14
2015-02-05,2243.05,2377.16,2391.94
2015-02-06,2228.25,2366.07,2385.64
2015-02-09,2267.55,2360.37,2381.27
2015-02-10,2266.5,2357.03,2377.17
2015-02-11,2291.95,2355.32,2374.23
2015-02-12,2260.65,2350.17,2370.44
2015-02-13,2261.75,2342.36,2366.94
2015-02-16,2261.7,2334.44,2363.65
2015-02-18,2240.65,2325.91,2359.92
2015-02-19,2223.4,2316.52,2355.91
2015-02-20,2209.3,2304.89,2351.72
2015-02-23,2184.75,2292.18,2347.08
2015-02-24,2191.95,2279.67,2342.89
2015-02-25,2180.8,2267.83,2338.62
2015-02-26,2134.95,2254.74,2333.40
2015-02-27,2150.45,2242.12,2328.83
2015-02-28,2161.8,2230.74,2324.75
2015-03-02,2074.75,2217.09,2318.80
2015-03-03,2116.15,2209.90,2314.09
2015-03-04,2122.1,2203.62,2309.72
2015-03-05,2120.35,2197.49,2305.52
2015-03-09,2113.1,2191.73,2301.33
2015-03-10,2128.95,2184.80,2297.66
2015-03-11,2099,2176.42,2293.53
2015-03-12,2077.85,2165.72,2289.12
2015-03-13,2022.9,2153.83,2283.80
2015-03-16,2030.25,2142.26,2275.32
2015-03-17,2045.65,2131.46,2267.17
2015-03-18,2034.55,2121.15,2258.65
2015-03-19,2024.4,2111.20,2250.34
2015-03-20,2021.35,2101.80,2241.82
2015-03-23,2032.75,2094.20,2233.47
2015-03-24,2027.9,2086.00,2226.40
2015-03-25,2017.85,2077.85,2220.09
2015-03-26,2001.75,2071.19,2213.60
2015-03-27,2017.15,2064.53,2206.67
2015-03-30,2023.75,2057.62,2198.79
2015-03-31,2017.35,2054.76,2190.73
2015-04-01,2018.65,2049.88,2182.88
2015-04-06,2031.35,2045.34,2175.29
2015-04-07,2093,2043.98,2168.31
2015-04-08,2104.75,2043.56,2161.62
2015-04-09,2097.25,2041.97,2154.72
2015-04-10,2100.6,2042.05,2148.39
2015-04-13,2100.45,2043.18,2142.46
2015-04-15,2077.8,2045.93,2135.96
2015-04-16,2086.7,2048.75,2129.91
2015-04-17,2065.7,2049.75,2124.26
2015-04-20,2018.5,2048.95,2119.43
2015-04-21,1992.95,2047.38,2114.34
2015-04-22,1988.5,2045.73,2109.25
2015-04-23,1991.4,2043.67,2104.51
2015-04-24,1996.85,2042.11,2099.10
2015-04-27,1990.55,2040.75,2093.58
2015-04-28,1990.55,2040.19,2087.55
2015-04-29,1978.1,2038.24,2081.90
2015-04-30,1949.4,2034.52,2075.65
2015-05-04,2093.7,2038.34,2072.29
2015-05-05,2063.35,2040.57,2068.75
2015-05-06,2020.25,2040.02,2064.68
2015-05-07,2067,2038.72,2061.84
2015-05-08,2129.35,2039.95,2060.73
2015-05-11,2182.1,2044.19,2060.53
2015-05-12,2128.95,2045.61,2059.50
2015-05-13,2125.2,2046.84,2059.30
2015-05-14,2165,2051.20,2059.59
2015-05-15,2181.85,2055.96,2059.99
2015-05-18,2221.95,2063.77,2062.94
2015-05-19,2199.25,2072.81,2064.60
2015-05-20,2150.5,2080.69,2065.17
2015-05-21,2299.75,2096.25,2068.76
2015-05-22,2310.5,2112.21,2072.70
2015-05-25,2301.85,2127.46,2076.16
2015-05-26,2315.5,2143.70,2080.49
2015-05-27,2306.4,2159.50,2085.06
2015-05-28,2302.65,2175.73,2090.66
2015-05-29,2315,2194.00,2096.35
2015-06-01,2336.3,2206.14,2102.16
2015-06-02,2269.1,2216.42,2106.86
2015-06-03,2240.8,2227.45,2111.18
2015-06-04,2216.2,2234.91,2115.08
2015-06-05,2199.35,2238.41,2118.41
2015-06-08,2221.3,2240.37,2122.28
2015-06-09,2185.85,2243.22,2125.64
2015-06-10,2253.1,2249.61,2130.67
2015-06-11,2207.55,2251.74,2134.48
2015-06-12,2285.55,2256.92,2139.71
2015-06-15,2334.3,2262.54,2146.05
2015-06-16,2391.35,2272.14,2153.50
2015-06-17,2368.05,2283.02,2160.24
2015-06-18,2397.35,2287.90,2166.33
2015-06-19,2405.6,2292.66,2172.34
2015-06-22,2425.4,2298.84,2178.91
2015-06-23,2412.45,2303.68,2185.14
2015-06-24,2395,2308.11,2191.03
2015-06-25,2506.25,2318.29,2199.60
2015-06-26,2540.15,2329.55,2208.67
2015-06-29,2550.6,2340.26,2218.37
2015-06-30,2535.65,2353.59,2228.71
2015-07-01,2523.6,2367.73,2239.33
2015-07-02,2565.8,2385.21,2250.87
2015-07-03,2586.15,2404.55,2262.77
2015-07-06,2595.35,2423.26,2274.74
2015-07-07,2606.25,2444.28,2287.05
2015-07-08,2573.9,2460.32,2298.72
