Date,"Close Price","20 Day MA","50 Day MA"
2015-01-01,15239.15,15239.15,15239.15
2015-01-02,15065.55,15152.35,15152.35
2015-01-05,15133.55,15146.08,15146.08
2015-01-06,14753.1,15047.84,15047.84
2015-01-07,14945.55,15027.38,15027.38
2015-01-08,14877.8,15002.45,15002.45
2015-01-09,14727.1,14963.11,14963.11
2015-01-12,14871.85,14951.71,14951.71
2015-01-13,14800.7,14934.93,14934.93
2015-01-14,14831.2,14924.56,14924.56
2015-01-15,15122.6,14942.56,14942.56
2015-01-16,15330.5,14974.89,14974.89
2015-01-19,15466.1,15012.67,15012.67
2015-01-20,15468.85,15045.26,15045.26
2015-01-21,15360.75,15066.29,15066.29
2015-01-22,15286.35,15080.04,15080.04
2015-01-23,15186.1,15086.28,15086.28
2015-01-27,16086.3,15141.84,15141.84
2015-01-28,16340.6,15204.93,15204.93
2015-01-29,16455.9,15267.48,15267.48
2015-01-30,16303.5,15320.70,15316.81
2015-02-02,16589.6,15396.90,15374.67
2015-02-03,16320.1,15456.23,15415.77
2015-02-04,15927.65,15514.95,15437.10
2015-02-05,15813.75,15558.36,15452.17
2015-02-06,15584.55,15593.70,15457.26
2015-02-09,15113.9,15613.04,15444.54
2015-02-10,15188.45,15628.87,15435.40
2015-02-11,16134.6,15695.57,15459.51
2015-02-12,16407.15,15774.36,15491.10
2015-02-13,16242,15830.34,15515.32
2015-02-16,16109.45,15869.28,15533.88
2015-02-18,16938,15942.88,15576.43
2015-02-19,16678.4,16003.36,15608.84
2015-02-20,16373,16053.97,15630.68
2015-02-23,16004.9,16089.90,15641.07
2015-02-24,15813.3,16121.26,15645.73
2015-02-25,15612.65,16097.57,15644.86
2015-02-26,15213.8,16041.23,15633.80
2015-02-27,15808.05,16008.84,15638.16
2015-02-28,16226.6,16005.00,15652.51
2015-03-02,16515.85,16001.31,15673.07
2015-03-03,15891.3,15979.87,15678.14
2015-03-04,16050.15,15985.99,15686.60
2015-03-05,15996,15995.10,15693.47
2015-03-09,15692.35,16000.50,15693.45
2015-03-10,15963.7,16042.98,15699.20
2015-03-11,16045.85,16085.85,15706.42
2015-03-12,16316.4,16094.94,15718.87
2015-03-13,15879.3,16068.55,15722.08
2015-03-16,15803.25,16046.62,15733.36
2015-03-17,15935.7,16037.93,15750.76
2015-03-18,16043.45,15993.20,15768.96
2015-03-19,16079.95,15963.28,15795.50
2015-03-20,16002,15944.73,15816.63
2015-03-23,15843.2,15936.64,15835.94
2015-03-24,15513.65,15921.66,15851.67
2015-03-25,15551.25,15918.59,15865.25
2015-03-26,15584.75,15937.14,15880.93
2015-03-27,15471.95,15920.33,15893.75
2015-03-30,16019.7,15909.99,15911.69
2015-03-31,15890.2,15878.71,15922.89
2015-04-01,16028.4,15885.56,15934.13
2015-04-06,15763.7,15871.24,15940.03
2015-04-07,15950.4,15868.96,15951.82
2015-04-08,16501,15909.39,15976.11
2015-04-09,16338.65,15928.14,15999.17
2015-04-10,16206.35,15936.16,16001.57
2015-04-13,16054.1,15923.05,15995.84
2015-04-15,15861.8,15922.17,15983.95
2015-04-16,15837.45,15923.88,15974.63
2015-04-17,15327.25,15893.46,15949.39
2015-04-20,14762.5,15829.41,15918.23
2015-04-21,14320.6,15741.44,15886.09
2015-04-22,14377.3,15660.21,15857.36
2015-04-23,14774.35,15606.77,15841.16
2015-04-24,14710.8,15566.62,15833.10
2015-04-27,14784.95,15528.31,15825.03
2015-04-28,15165.15,15507.33,15805.64
2015-04-29,15228.4,15495.15,15782.07
2015-04-30,15217.85,15455.06,15761.58
2015-05-04,15337.55,15427.43,15746.14
2015-05-05,15552.05,15403.61,15718.43
2015-05-06,15064.7,15368.66,15686.15
2015-05-07,14796.2,15310.95,15654.62
2015-05-08,15789,15275.35,15650.30
2015-05-11,16865.3,15301.68,15671.34
2015-05-12,17121,15347.42,15701.50
2015-05-13,18062.7,15447.84,15758.48
2015-05-14,18190.25,15564.27,15806.13
2015-05-15,18707,15707.74,15855.73
2015-05-18,18618.15,15872.29,15897.78
2015-05-19,18275.85,16047.96,15945.47
2015-05-20,18510.45,16257.45,15994.68
2015-05-21,18428.3,16460.00,16043.32
2015-05-22,18669.8,16654.77,16102.87
2015-05-25,19173,16877.88,16167.06
2015-05-26,18945.2,17085.89,16225.04
2015-05-27,18353.85,17245.33,16265.79
2015-05-28,17972.6,17382.54,16307.66
2015-05-29,18713.8,17557.34,16365.87
2015-06-01,18785.25,17729.72,16422.86
2015-06-02,18138.5,17859.04,16464.76
2015-06-03,18209.75,18016.30,16507.36
2015-06-04,17182.35,18135.60,16530.97
2015-06-05,17390.05,18215.66,16561.90
2015-06-08,17283.6,18236.57,16597.30
2015-06-09,17099.3,18235.49,16628.26
2015-06-10,17612.45,18212.97,16668.82
2015-06-11,17234.35,18165.18,16704.06
2015-06-12,17399.45,18099.80,16731.66
2015-06-15,18043.7,18071.08,16774.73
2015-06-16,18462.8,18080.43,16823.42
2015-06-17,19297.45,18119.78,16894.09
2015-06-18,19482.2,18172.47,16964.73
2015-06-19,19471.15,18212.54,17024.13
2015-06-22,19397.3,18223.76,17085.30
2015-06-23,19275.75,18240.28,17146.69
2015-06-24,19113.6,18278.27,17207.88
2015-06-25,19505.25,18354.90,17280.75
2015-06-26,19526.65,18395.55,17354.54
2015-06-29,19301.65,18421.37,17434.02
2015-06-30,19578.15,18493.35,17530.34
2015-07-01,20338.1,18599.76,17650.69
2015-07-02,21238.65,18802.58,17787.91
2015-07-03,20253.8,18945.77,17897.50
2015-07-06,20359.5,19099.56,18010.48
2015-07-07,20367.15,19262.96,18122.12
2015-07-08,20476.7,19406.17,18228.35
2015-07-09,20650,19576.95,18336.78
2015-07-10,20765.8,19745.27,18447.74
2015-07-13,21171.05,19901.64,18564.41
2015-07-14,20761.7,20016.58,18668.61
2015-07-15,20734.35,20088.42,18782.00
2015-07-16,21071.3,20167.88,18907.50
2015-07-17,21084.2,20248.53,19013.41
2015-07-20,21269.45,20342.14,19101.49
2015-07-21,21336.55,20445.18,19185.80
2015-07-22,21164,20547.70,19247.82
2015-07-23,20528.85,20598.88,19294.60
2015-07-24,20097.1,20627.40,19322.40
2015-07-27,19343.75,20629.51,19336.91
2015-07-28,19481.9,20624.70,19361.03
2015-07-29,19265.65,20571.07,19376.14
2015-07-30,19057.65,20462.02,19388.72
2015-07-31,19070.05,20402.84,19396.73
2015-08-03,19105.2,20340.12,19395.37
2015-08-04,20158.35,20329.68,19419.64
2015-08-05,20548,20333.25,19463.52
2015-08-06,20544.1,20327.95,19514.95
2015-08-07,20615.85,20320.45,19552.99
2015-08-10,20417.15,20282.76,19585.63
2015-08-11,20165,20252.92,19626.16
2015-08-12,19871.85,20209.80,19659.40
2015-08-13,19895.25,20150.99,19713.66
2015-08-14,20601.4,20126.86,19777.88
2015-08-17,20671.2,20096.94,19845.64
2015-08-18,20950.6,20077.64,19922.66
2015-08-19,21243.25,20081.61,19995.28
2015-08-20,21042.4,20107.28,20071.44
2015-08-21,20482.05,20126.53,20133.09
2015-08-24,18571.75,20087.93,20143.65
2015-08-25,18844.35,20056.06,20151.28
2015-08-26,18581.65,20021.86,20136.97
2015-08-27,18814.35,20009.69,20123.61
2015-08-28,18903.1,20001.34,20112.25
2015-08-31,18993.35,19995.75,20104.17
2015-09-01,18258.9,19900.78,20083.83
2015-09-02,18342.9,19790.52,20068.42
2015-09-03,18365.15,19681.58,20045.62
2015-09-04,18146.65,19558.11,20018.02
2015-09-07,17449.95,19409.76,19980.98
2015-09-08,17257.55,19264.38,19934.57
2015-09-09,17939.5,19167.77,19886.60
2015-09-10,18472.35,19096.62,19831.27
2015-09-11,18892.2,19011.16,19804.04
2015-09-14,18813.1,18918.25,19773.11
2015-09-15,18557.6,18798.60,19736.92
2015-09-16,17968.35,18634.86,19686.75
2015-09-18,18215.9,18493.53,19638.07
2015-09-21,18459.55,18392.41,19591.95
2015-09-22,18337.9,18380.72,19535.28
2015-09-23,18250.35,18351.02,19485.06
2015-09-24,17761.8,18310.03,19425.61
2015-09-28,17298.6,18234.24,19350.15
2015-09-29,17468.6,18162.51,19277.84
2015-09-30,17791.2,18102.40,19208.28
2015-10-01,18270.55,18102.99,19146.96
