Date,"Close Price","20 Day MA","50 Day MA"
2015-01-01,3107.3,3107.30,3107.30
2015-01-02,3097.75,3102.52,3102.52
2015-01-05,3118.65,3107.90,3107.90
2015-01-06,3011.8,3083.88,3083.88
2015-01-07,2977.1,3062.52,3062.52
2015-01-08,2984.45,3049.51,3049.51
2015-01-09,2993.15,3041.46,3041.46
2015-01-12,2936.2,3028.30,3028.30
2015-01-13,2893.7,3013.34,3013.34
2015-01-14,2905.2,3002.53,3002.53
2015-01-15,2950.25,2997.78,2997.78
2015-01-16,2896.85,2989.37,2989.37
2015-01-19,2841.75,2978.01,2978.01
2015-01-20,2827.7,2967.28,2967.28
2015-01-21,2876.5,2961.22,2961.22
2015-01-22,2838.15,2953.53,2953.53
2015-01-23,2859.65,2948.01,2948.01
2015-01-27,2856.7,2942.94,2942.94
2015-01-28,2865.45,2938.86,2938.86
2015-01-29,2875.4,2935.68,2935.68
2015-01-30,2869.55,2923.80,2932.54
2015-02-02,2834.4,2910.63,2928.08
2015-02-03,2812.35,2895.31,2923.04
2015-02-04,2829.9,2886.22,2919.16
2015-02-05,2847.05,2879.72,2916.28
2015-02-06,2779.5,2869.47,2911.02
2015-02-09,2728.5,2856.24,2904.26
2015-02-10,2720.65,2845.46,2897.70
2015-02-11,2752.45,2838.40,2892.69
2015-02-12,2805.35,2833.40,2889.78
2015-02-13,2852.5,2828.52,2888.58
2015-02-16,2806.25,2823.99,2886.00
2015-02-18,2663.45,2815.07,2879.26
2015-02-19,2667.2,2807.05,2873.02
2015-02-20,2659.85,2796.21,2866.93
2015-02-23,2646.8,2786.65,2860.82
2015-02-24,2651.2,2776.22,2855.15
2015-02-25,2625.55,2764.67,2849.11
2015-02-26,2625.65,2752.68,2843.38
2015-02-27,2670.35,2742.42,2839.06
2015-02-28,2682.65,2733.08,2835.24
2015-03-02,2624.75,2722.60,2830.23
2015-03-03,2636.95,2713.83,2825.73
2015-03-04,2621.4,2703.40,2821.09
2015-03-05,2608.1,2691.46,2816.36
2015-03-09,2599.65,2682.46,2811.65
2015-03-10,2620.55,2677.06,2807.58
2015-03-11,2617,2671.88,2803.61
2015-03-12,2642.65,2666.39,2800.32
2015-03-13,2609.5,2656.60,2796.51
2015-03-16,2629.65,2645.46,2786.96
2015-03-17,2652.45,2637.77,2778.05
2015-03-18,2674.05,2638.30,2769.16
2015-03-19,2665.05,2638.19,2762.22
2015-03-20,2614.8,2635.94,2754.98
2015-03-23,2638,2635.50,2748.05
2015-03-24,2607.8,2633.33,2740.34
2015-03-25,2595.6,2631.83,2733.53
2015-03-26,2608.05,2630.95,2727.82
2015-03-27,2576.75,2626.27,2721.25
2015-03-30,2636.55,2623.97,2714.97
2015-03-31,2642.6,2624.86,2709.89
2015-04-01,2655.6,2625.79,2706.16
2015-04-06,2671.8,2628.31,2703.05
2015-04-07,2640,2629.90,2698.32
2015-04-08,2605.1,2630.18,2693.66
2015-04-09,2610,2629.65,2688.66
2015-04-10,2584.25,2628.01,2683.21
2015-04-13,2580.65,2624.91,2677.52
2015-04-15,2523.85,2620.63,2670.49
2015-04-16,2428.85,2610.59,2661.67
2015-04-17,2410.15,2598.47,2653.19
2015-04-20,2314.7,2580.51,2643.23
2015-04-21,2329.45,2563.73,2633.23
2015-04-22,2408.6,2553.42,2624.46
2015-04-23,2372.55,2540.14,2616.32
2015-04-24,2352.55,2527.38,2608.80
2015-04-27,2324.05,2513.81,2600.87
2015-04-28,2356.35,2501.22,2592.94
2015-04-29,2372.85,2491.02,2584.29
2015-04-30,2329.45,2475.67,2573.83
2015-05-04,2386,2462.84,2565.43
2015-05-05,2357.7,2447.94,2559.31
2015-05-06,2325.95,2430.65,2552.49
2015-05-07,2354.1,2416.36,2546.37
2015-05-08,2301.55,2401.18,2539.47
2015-05-11,2384.2,2389.89,2534.13
2015-05-12,2459.9,2383.67,2530.82
2015-05-13,2502.1,2379.74,2528.34
2015-05-14,2529.95,2380.05,2525.54
2015-05-15,2528.4,2385.03,2522.45
2015-05-18,2520.6,2390.55,2520.37
2015-05-19,2575.1,2403.57,2519.13
2015-05-20,2579.25,2416.06,2518.29
2015-05-21,2602.5,2425.76,2518.18
2015-05-22,2600.9,2437.17,2518.20
2015-05-25,2586.85,2448.89,2517.53
2015-05-26,2616.05,2463.49,2517.51
2015-05-27,2605.05,2475.92,2516.76
2015-05-28,2641.95,2489.38,2517.41
2015-05-29,2696,2507.71,2518.73
2015-06-01,2709.7,2523.89,2519.88
2015-06-02,2607.85,2536.40,2518.55
2015-06-03,2578.05,2549.00,2516.81
2015-06-04,2548.4,2558.72,2515.48
2015-06-05,2576.85,2572.48,2514.26
2015-06-08,2519.2,2579.23,2512.49
2015-06-09,2501.65,2581.32,2510.61
2015-06-10,2516.25,2582.03,2508.77
2015-06-11,2503.65,2580.71,2507.31
2015-06-12,2506.8,2579.63,2504.72
2015-06-15,2509.25,2579.06,2502.05
2015-06-16,2543.9,2577.50,2499.82
2015-06-17,2525.6,2574.82,2496.89
2015-06-18,2523.9,2570.89,2494.57
2015-06-19,2551.7,2568.43,2493.50
2015-06-22,2580.6,2568.12,2492.91
2015-06-23,2523.2,2563.48,2491.69
2015-06-24,2521.15,2559.28,2490.50
2015-06-25,2552.05,2554.79,2491.07
2015-06-26,2547,2547.34,2493.43
2015-06-29,2538.45,2538.77,2496.00
2015-06-30,2524.3,2534.60,2500.19
2015-07-01,2518.8,2531.64,2503.98
2015-07-02,2532.85,2530.86,2506.46
2015-07-03,2577.8,2530.91,2510.57
2015-07-06,2612.4,2535.57,2515.76
2015-07-07,2562.5,2538.61,2520.53
2015-07-08,2552.95,2540.44,2524.46
2015-07-09,2605.4,2545.53,2529.11
2015-07-10,2572.5,2548.82,2533.98
2015-07-13,2600.65,2553.39,2538.27
2015-07-14,2640.2,2558.20,2543.92
2015-07-15,2660.1,2564.92,2550.60
2015-07-16,2650,2571.23,2556.52
2015-07-17,2649.8,2576.13,2563.48
2015-07-20,2660.75,2580.14,2569.02
2015-07-21,2685.85,2588.28,2573.54
2015-07-22,2707.7,2597.60,2577.65
2015-07-23,2714.3,2605.72,2581.33
2015-07-24,2738.2,2615.28,2585.53
2015-07-27,2605.65,2618.63,2587.23
2015-07-28,2531.55,2619.00,2586.36
2015-07-29,2566.25,2621.37,2586.10
2015-07-30,2587.6,2624.11,2585.80
2015-07-31,2674.45,2628.94,2587.27
2015-08-03,2697.85,2633.21,2589.49
2015-08-04,2624.25,2636.30,2589.66
2015-08-05,2660.4,2641.67,2590.76
2015-08-06,2652.65,2644.04,2590.98
2015-08-07,2660.5,2648.44,2590.27
2015-08-10,2704.85,2653.64,2590.17
2015-08-11,2678.7,2655.57,2591.59
2015-08-12,2635.35,2654.33,2592.73
2015-08-13,2643.85,2654.02,2594.64
2015-08-14,2714,2657.23,2597.39
2015-08-17,2653.5,2656.87,2600.07
2015-08-18,2641.85,2654.67,2602.88
2015-08-19,2690,2653.79,2606.35
2015-08-20,2633.9,2649.77,2608.96
2015-08-21,2559.9,2640.85,2610.02
2015-08-24,2478.95,2634.52,2609.41
2015-08-25,2477.5,2631.81,2608.08
2015-08-26,2391.95,2623.10,2605.41
2015-08-27,2380.7,2612.75,2602.55
2015-08-28,2400.95,2599.08,2599.53
2015-08-31,2397.35,2584.05,2595.87
2015-09-01,2385.3,2572.11,2593.11
2015-09-02,2343.25,2556.25,2589.55
2015-09-03,2329.95,2540.11,2585.11
2015-09-04,2292.55,2521.72,2580.02
2015-09-07,2279.8,2500.46,2574.85
2015-09-08,2317.3,2482.40,2570.71
2015-09-09,2347.75,2468.02,2567.29
2015-09-10,2343.95,2453.02,2563.51
2015-09-11,2342.05,2434.42,2558.79
2015-09-14,2348.6,2419.18,2553.52
2015-09-15,2310.6,2402.62,2548.48
2015-09-16,2363,2386.26,2544.68
2015-09-18,2428.55,2376.00,2541.14
2015-09-21,2424.8,2369.24,2538.19
2015-09-22,2386.1,2364.60,2533.90
2015-09-23,2401.3,2360.79,2529.12
2015-09-24,2380.65,2360.23,2523.53
2015-09-28,2350.75,2358.73,2517.55
2015-09-29,2331.7,2355.26,2511.18
2015-09-30,2395.65,2355.18,2505.88
2015-10-01,2413.35,2356.58,2500.43
2015-10-05,2501.65,2364.50,2496.31
2015-10-06,2532.55,2374.63,2492.68
