Date,"Close Price","20 Day MA","50 Day MA"
2015-01-01,1975.8,1975.80,1975.80
2015-01-02,2013.45,1994.62,1994.62
2015-01-05,1996.6,1995.28,1995.28
2015-01-06,1956.85,1985.68,1985.68
2015-01-07,1964.8,1981.50,1981.50
2015-01-08,1974.55,1980.34,1980.34
2015-01-09,2073.6,1993.66,1993.66
2015-01-12,2114.75,2008.80,2008.80
2015-01-13,2087.25,2017.52,2017.52
2015-01-14,2128.8,2028.64,2028.64
2015-01-15,2133.95,2038.22,2038.22
2015-01-16,2114.15,2044.55,2044.55
2015-01-19,2102.4,2049.00,2049.00
2015-01-20,2122.35,2054.24,2054.24
2015-01-21,2165.1,2061.63,2061.63
2015-01-22,2195.7,2070.01,2070.01
2015-01-23,2214.05,2078.48,2078.48
2015-01-27,2136,2081.68,2081.68
2015-01-28,2145.1,2085.01,2085.01
2015-01-29,2142.9,2087.91,2087.91
2015-01-30,2142.75,2096.26,2090.52
2015-02-02,2134.35,2102.30,2092.51
2015-02-03,2120.35,2108.49,2093.72
2015-02-04,2142.05,2117.75,2095.74
2015-02-05,2193.6,2129.19,2099.65
2015-02-06,2229.35,2141.93,2104.64
2015-02-09,2250.2,2150.76,2110.03
2015-02-10,2280.3,2159.04,2116.11
2015-02-11,2287.2,2169.03,2122.01
2015-02-12,2315.45,2178.36,2128.46
2015-02-13,2296.4,2186.49,2133.88
2015-02-16,2278.5,2194.70,2138.40
2015-02-18,2295.75,2204.37,2143.16
2015-02-19,2326.6,2214.58,2148.56
2015-02-20,2284.3,2220.54,2152.44
2015-02-23,2270.7,2224.29,2155.72
2015-02-24,2278.15,2227.50,2159.03
2015-02-25,2318.05,2236.60,2163.22
2015-02-26,2259.5,2242.32,2165.68
2015-02-27,2266.35,2248.50,2168.20
2015-02-28,2294.85,2256.10,2171.29
2015-03-02,2291.45,2263.96,2174.15
2015-03-03,2297.35,2272.80,2177.02
2015-03-04,2272.6,2279.33,2179.19
2015-03-05,2251.7,2282.24,2180.80
2015-03-09,2190.55,2280.30,2181.01
2015-03-10,2200.1,2277.79,2181.42
2015-03-11,2183.6,2272.96,2181.46
2015-03-12,2217.8,2269.49,2182.21
2015-03-13,2216.45,2264.54,2182.89
2015-03-16,2267,2263.07,2188.71
2015-03-17,2241.95,2261.24,2193.28
2015-03-18,2230.2,2257.96,2197.96
2015-03-19,2229.9,2253.13,2203.42
2015-03-20,2258.95,2251.86,2209.30
2015-03-23,2232.4,2249.94,2214.46
2015-03-24,2212.1,2246.64,2217.23
2015-03-25,2217.7,2241.62,2219.29
