Date,"Close Price","20 Day MA","50 Day MA"
2015-01-01,2548.2,2548.20,2548.20
2015-01-02,2570.85,2559.52,2559.52
2015-01-05,2537.9,2552.32,2552.32
2015-01-06,2446.55,2525.88,2525.88
2015-01-07,2416.8,2504.06,2504.06
2015-01-08,2443.85,2494.02,2494.02
2015-01-09,2512.2,2496.62,2496.62
2015-01-12,2512.05,2498.55,2498.55
2015-01-13,2498.3,2498.52,2498.52
2015-01-14,2518.15,2500.48,2500.48
2015-01-15,2545,2504.53,2504.53
2015-01-16,2531.9,2506.81,2506.81
2015-01-19,2509.75,2507.04,2507.04
2015-01-20,2499.55,2506.50,2506.50
2015-01-21,2511.35,2506.83,2506.83
2015-01-22,2512.75,2507.20,2507.20
2015-01-23,2501.7,2506.87,2506.87
2015-01-27,2502.8,2506.65,2506.65
2015-01-28,2534.7,2508.12,2508.12
2015-01-29,2541.35,2509.78,2509.78
2015-01-30,2481,2506.43,2508.41
2015-02-02,2512.8,2503.52,2508.61
2015-02-03,2554.8,2504.37,2510.62
2015-02-04,2514,2507.74,2510.76
2015-02-05,2551.9,2514.50,2512.41
2015-02-06,2576,2521.10,2514.85
2015-02-09,2515.15,2521.25,2514.86
2015-02-10,2442.95,2517.80,2512.30
2015-02-11,2460.15,2515.89,2510.50
2015-02-12,2462.8,2513.12,2508.91
2015-02-13,2538.65,2512.80,2509.87
2015-02-16,2585.25,2515.47,2512.22
2015-02-18,2633.9,2521.68,2515.91
2015-02-19,2679.7,2530.69,2520.73
2015-02-20,2674.85,2538.86,2525.13
2015-02-23,2695.05,2547.98,2529.85
2015-02-24,2707.15,2558.25,2534.64
2015-02-25,2671.3,2566.67,2538.24
2015-02-26,2656.35,2572.76,2541.27
2015-02-27,2663.75,2578.88,2544.33
2015-02-28,2675.3,2588.59,2547.52
2015-03-02,2670.15,2596.46,2550.44
2015-03-03,2774.7,2607.45,2555.66
2015-03-04,2743.4,2618.92,2559.93
2015-03-05,2696.35,2626.14,2562.96
2015-03-09,2643.15,2629.50,2564.70
2015-03-10,2642.8,2635.88,2566.36
2015-03-11,2609.35,2644.20,2567.26
2015-03-12,2619,2652.15,2568.31
2015-03-13,2581.05,2658.06,2568.57
2015-03-16,2565.35,2659.40,2568.91
2015-03-17,2580.9,2659.18,2569.11
2015-03-18,2560.7,2655.52,2569.57
2015-03-19,2594.4,2651.25,2572.53
2015-03-20,2609.65,2647.99,2576.38
2015-03-23,2610.55,2643.77,2579.72
2015-03-24,2593.55,2638.09,2581.34
2015-03-25,2573.1,2633.18,2582.57
2015-03-26,2513.35,2626.03,2582.87
2015-03-27,2516.2,2618.65,2582.83
2015-03-30,2557.25,2612.75,2583.07
2015-03-31,2547.05,2606.59,2583.38
2015-04-01,2543.4,2595.03,2584.05
2015-04-06,2546,2585.16,2584.98
2015-04-07,2586.1,2579.64,2586.47
2015-04-08,2644.35,2579.70,2589.10
2015-04-09,2661.15,2580.62,2592.29
2015-04-10,2651.95,2582.75,2595.28
2015-04-13,2650.25,2584.31,2597.59
2015-04-15,2624.7,2586.50,2599.25
2015-04-16,2585.2,2587.49,2601.34
2015-04-17,2476.2,2582.25,2600.61
2015-04-20,2430.65,2575.75,2598.12
2015-04-21,2426.85,2567.37,2596.38
2015-04-22,2447.9,2559.29,2594.30
2015-04-23,2456.85,2551.60,2591.92
2015-04-24,2496.9,2546.77,2591.55
2015-04-27,2500.3,2543.13,2592.70
2015-04-28,2494.55,2542.19,2593.39
2015-04-29,2485.65,2540.66,2593.84
2015-04-30,2466.65,2536.13,2592.40
2015-05-04,2479.1,2532.74,2590.28
2015-05-05,2519.25,2531.53,2587.99
2015-05-06,2462.85,2527.37,2583.65
2015-05-07,2543.3,2525.23,2581.02
2015-05-08,2530.7,2519.55,2577.73
2015-05-11,2555.8,2514.28,2574.71
2015-05-12,2521.2,2507.74,2571.70
2015-05-13,2519.95,2501.23,2568.98
2015-05-14,2499.95,2494.99,2565.70
2015-05-15,2509.65,2491.21,2562.39
2015-05-18,2519.35,2493.37,2559.37
2015-05-19,2511.95,2497.43,2554.12
2015-05-20,2557.55,2503.97,2550.40
2015-05-21,2557.65,2509.46,2547.62
2015-05-22,2619.55,2517.59,2547.15
2015-05-25,2601.4,2522.82,2546.32
2015-05-26,2606.35,2528.12,2546.26
2015-05-27,2616.55,2534.22,2546.22
2015-05-28,2609.95,2540.44,2546.79
2015-05-29,2610.6,2547.63,2547.70
2015-06-01,2616.4,2554.50,2548.41
2015-06-02,2600.45,2558.56,2549.20
2015-06-03,2610.75,2565.95,2549.53
2015-06-04,2606.2,2569.10,2549.46
2015-06-05,2572.35,2571.18,2548.70
2015-06-08,2578.65,2572.32,2548.40
2015-06-09,2558.1,2574.17,2548.10
2015-06-10,2602.05,2578.27,2549.87
2015-06-11,2571,2581.82,2550.97
2015-06-12,2512.05,2581.95,2550.07
2015-06-15,2511.8,2581.57,2549.36
2015-06-16,2511.05,2581.52,2548.71
2015-06-17,2514.95,2579.39,2548.09
2015-06-18,2528.55,2577.94,2546.94
2015-06-19,2551.1,2574.52,2545.08
2015-06-22,2595.7,2574.23,2543.77
2015-06-23,2577.7,2572.80,2542.28
2015-06-24,2568.4,2570.39,2540.65
2015-06-25,2551.75,2567.48,2539.19
2015-06-26,2594.05,2566.65,2539.36
2015-06-29,2593.55,2565.51,2541.71
2015-06-30,2552.2,2563.10,2544.14
2015-07-01,2591.8,2562.15,2547.44
2015-07-02,2580.85,2560.88,2550.10
2015-07-03,2604.8,2562.50,2553.06
2015-07-06,2632.8,2565.21,2555.78
2015-07-07,2619.05,2568.26,2558.15
2015-07-08,2594.05,2567.86,2560.14
2015-07-09,2521.4,2565.38,2560.86
2015-07-10,2471.9,2563.37,2560.96
2015-07-13,2508.6,2563.21,2561.55
2015-07-14,2499.5,2562.64,2561.16
2015-07-15,2546.25,2564.20,2562.83
2015-07-16,2538.15,2564.68,2562.72
2015-07-17,2559.35,2565.09,2563.30
2015-07-20,2579.55,2564.28,2563.77
2015-07-21,2562.85,2563.54,2564.60
2015-07-22,2528.1,2561.53,2564.77
2015-07-23,2487.95,2558.34,2564.53
2015-07-24,2503.75,2553.82,2564.41
2015-07-27,2496.9,2548.99,2563.96
2015-07-28,2501.5,2546.46,2563.75
2015-07-29,2508.1,2542.27,2562.76
2015-07-30,2480.95,2537.27,2561.23
2015-07-31,2510,2532.54,2559.04
2015-08-03,2507.95,2526.29,2557.17
2015-08-04,2509.3,2520.80,2555.23
2015-08-05,2541.65,2518.18,2553.73
2015-08-06,2574.3,2520.83,2553.02
2015-08-07,2551.7,2524.82,2551.84
2015-08-10,2570.8,2527.93,2550.93
2015-08-11,2603.05,2533.11,2550.98
2015-08-12,2671.4,2539.37,2552.19
2015-08-13,2637.4,2544.33,2552.81
2015-08-14,2693.65,2551.04,2555.24
2015-08-17,2684.75,2556.30,2557.36
2015-08-18,2734.6,2564.89,2560.89
2015-08-19,2731.4,2575.06,2563.48
2015-08-20,2691.2,2585.22,2565.88
2015-08-21,2675.1,2593.78,2569.14
2015-08-24,2579.2,2597.90,2570.49
2015-08-25,2567.35,2601.19,2571.62
2015-08-26,2576.75,2604.62,2572.85
2015-08-27,2577.6,2609.46,2573.83
2015-08-28,2570.65,2612.49,2574.23
2015-08-31,2565.25,2615.36,2573.62
2015-09-01,2538.8,2616.83,2572.84
2015-09-02,2593.2,2619.41,2573.33
2015-09-03,2605.25,2620.96,2574.40
2015-09-04,2549.45,2620.84,2573.51
2015-09-07,2539.5,2619.28,2572.43
2015-09-08,2542.1,2616.23,2572.23
2015-09-09,2550.65,2610.19,2571.41
2015-09-10,2542.35,2605.44,2570.64
2015-09-11,2545.5,2598.03,2569.45
2015-09-14,2550.75,2591.33,2567.81
2015-09-15,2543.15,2581.76,2566.29
2015-09-16,2551.15,2572.75,2565.43
2015-09-18,2554.15,2565.90,2566.09
2015-09-21,2550.7,2559.68,2567.66
2015-09-22,2526.35,2557.03,2568.02
2015-09-23,2534.05,2555.37,2568.71
2015-09-24,2575.6,2555.31,2569.30
2015-09-28,2590.35,2555.95,2570.34
2015-09-29,2590.2,2556.92,2570.96
2015-09-30,2587.7,2558.05,2571.12
2015-10-01,2639.7,2563.09,2572.66
2015-10-05,2713.45,2569.10,2576.37
2015-10-06,2695.7,2573.63,2580.52
2015-10-07,2655.1,2578.91,2583.55
2015-10-08,2634.75,2583.67,2586.30
2015-10-09,2629.85,2588.06,2588.87
2015-10-12,2592.4,2590.15,2590.56
2015-10-13,2597.4,2592.90,2592.89
2015-10-14,2483.4,2589.79,2592.35
2015-10-15,2468.65,2585.69,2591.57
2015-10-16,2475.95,2582.33,2590.90
2015-10-19,2486.85,2579.12,2589.81
2015-10-20,2526.7,2577.74,2588.85
2015-10-21,2525.5,2576.48,2588.33
2015-10-23,2536.2,2576.97,2587.64
2015-10-26,2535.2,2577.03,2586.28
2015-10-27,2529.8,2574.74,2583.45
2015-10-28,2524.65,2571.46,2581.19
2015-10-29,2496.15,2566.76,2577.24
2015-10-30,2497.3,2562.24,2573.49
2015-11-02,2511.2,2555.81,2569.03
2015-11-03,2542.6,2547.27,2565.25
2015-11-04,2529.45,2538.96,2562.02
2015-11-05,2490.75,2530.74,2558.33
2015-11-06,2505.75,2524.29,2556.86
2015-11-09,2475.05,2516.55,2555.01
2015-11-10,2461.7,2510.01,2552.71
2015-11-11,2470.55,2503.67,2550.57
2015-11-13,2397.3,2499.37,2547.10
2015-11-16,2374.9,2494.68,2543.30
2015-11-17,2390.5,2490.41,2540.33
2015-11-18,2351.9,2483.66,2535.51
2015-11-19,2363.2,2475.48,2530.66
2015-11-20,2395.55,2468.98,2527.59
2015-11-23,2391.7,2461.76,2524.63
2015-11-24,2370.1,2453.50,2521.19
2015-11-26,2345.15,2444.27,2517.08
2015-11-27,2352.65,2435.67,2513.29
2015-11-30,2365.25,2429.13,2509.68
2015-12-01,2362.15,2422.37,2505.91
2015-12-02,2365.25,2415.07,2502.35
2015-12-03,2350.85,2405.48,2498.35
2015-12-04,2330.15,2395.52,2493.87
2015-12-07,2324.1,2387.19,2489.33
2015-12-08,2329.5,2378.38,2485.40
2015-12-09,2365.7,2372.91,2482.03
2015-12-10,2380.75,2368.86,2478.13
2015-12-11,2387.25,2364.70,2474.07
2015-12-14,2377.45,2363.70,2469.82
2015-12-15,2375.2,2363.72,2465.57
2015-12-16,2407.1,2364.55,2460.91
2015-12-17,2440.35,2368.97,2455.45
2015-12-18,2416.45,2371.63,2449.87
2015-12-21,2440.95,2373.90,2445.58
2015-12-22,2405.95,2374.61,2441.01
2015-12-23,2420.4,2377.13,2436.82
2015-12-24,2433.35,2381.54,2433.64
2015-12-28,2458.5,2386.83,2430.86
2015-12-29,2451.95,2391.17,2430.23
2015-12-30,2418.4,2393.98,2429.23
2015-12-31,2439.2,2397.68,2428.49
2016-01-01,2416.25,2400.95,2427.08
2016-01-04,2375.5,2403.21,2424.05
2016-01-05,2350.35,2404.53,2420.55
2016-01-06,2381.2,2407.11,2417.45
2016-01-07,2370.05,2407.33,2414.15
2016-01-08,2397.25,2408.15,2411.50
2016-01-11,2363,2406.94,2408.26
2016-01-12,2324.05,2404.27,2404.82
2016-01-13,2280.3,2399.53,2400.48
2016-01-14,2278.95,2393.12,2395.84
2016-01-15,2263.5,2384.28,2390.26
2016-01-18,2282.45,2377.58,2385.32
2016-01-19,2279,2369.48,2381.08
2016-01-20,2277.6,2363.06,2376.52
2016-01-21,2261.2,2355.10,2372.24
2016-01-22,2295.25,2348.20,2368.91
2016-01-25,2305.95,2340.57,2365.62
2016-01-27,2319.6,2333.95,2364.07
2016-01-28,2330.9,2329.58,2363.19
2016-01-29,2391.2,2327.18,2363.20
2016-02-01,2402.2,2326.47,2364.21
2016-02-02,2401.5,2327.77,2364.97
2016-02-03,2417.05,2331.11,2365.40
2016-02-04,2417.45,2332.92,2365.92
2016-02-05,2425.85,2335.71,2367.03
2016-02-08,2368.5,2334.28,2367.50
2016-02-09,2281.45,2330.20,2366.07
2016-02-10,2270.05,2327.50,2364.17
2016-02-11,2196.05,2323.29,2360.85
2016-02-12,2226.5,2320.66,2358.07
2016-02-15,2269.55,2320.97,2356.45
2016-02-16,2267.75,2320.23,2355.20
2016-02-17,2278,2320.18,2354.28
2016-02-18,2315.3,2322.07,2353.99
2016-02-19,2320.2,2325.02,2353.08
2016-02-22,2314.2,2325.96,2351.75
2016-02-23,2265.1,2323.92,2349.31
2016-02-24,2218.65,2318.87,2346.13
2016-02-25,2212.25,2312.94,2342.88
2016-02-26,2214.7,2304.11,2339.03
2016-02-29,2181.9,2293.10,2333.86
2016-03-01,2275,2286.78,2331.03
2016-03-02,2319.55,2281.90,2328.60
2016-03-03,2377.3,2279.89,2328.03
2016-03-04,2359.05,2276.55,2326.80
2016-03-08,2354.4,2275.85,2325.22
2016-03-09,2356.2,2279.59,2323.18
2016-03-10,2348,2283.48,2321.10
2016-03-11,2366,2291.98,2320.05
2016-03-14,2352,2298.26,2318.30
2016-03-15,2329.65,2301.26,2316.57
2016-03-16,2327.35,2304.24,2315.61
2016-03-17,2351.75,2307.93,2315.64
2016-03-18,2427.25,2313.52,2316.56
2016-03-21,2443.65,2319.70,2318.03
2016-03-22,2474.05,2327.69,2319.57
2016-03-23,2474.7,2338.17,2321.80
2016-03-28,2473.55,2350.92,2324.79
2016-03-29,2467.85,2363.70,2328.54
2016-03-30,2488.35,2377.38,2332.73
2016-03-31,2516.05,2394.08,2337.78
2016-04-01,2455.4,2403.11,2341.24
2016-04-04,2470.7,2410.66,2345.07
2016-04-05,2462.65,2414.93,2348.78
2016-04-06,2478.9,2420.92,2353.13
2016-04-07,2470.95,2426.75,2356.64
2016-04-08,2428.7,2430.37,2359.10
2016-04-11,2506.65,2438.31,2362.84
2016-04-12,2512.5,2445.63,2366.47
2016-04-13,2523.15,2454.19,2369.11
2016-04-18,2522.4,2463.83,2371.51
2016-04-20,2451.9,2470.06,2372.52
2016-04-21,2423.2,2473.63,2372.64
2016-04-22,2417.2,2473.13,2372.64
2016-04-25,2448.3,2473.36,2373.09
2016-04-26,2488,2474.06,2375.48
2016-04-27,2505.55,2475.60,2379.96
2016-04-28,2526.95,2478.27,2385.10
2016-04-29,2530.05,2481.38,2391.78
2016-05-02,2525.15,2483.22,2397.75
2016-05-03,2480.25,2481.43,2401.97
2016-05-04,2478.25,2482.57,2406.18
2016-05-05,2474,2482.74,2410.10
2016-05-06,2472.15,2483.21,2413.23
2016-05-09,2515.35,2485.03,2417.14
