Date,"Close Price","20 Day MA","50 Day MA"
2015-01-01,276.85,276.85,276.85
2015-01-02,267.8,272.33,272.33
2015-01-05,271.2,271.95,271.95
2015-01-06,268,270.96,270.96
2015-01-07,278.55,272.48,272.48
2015-01-08,295.8,276.37,276.37
2015-01-09,296.7,279.27,279.27
2015-01-12,300.65,281.94,281.94
2015-01-13,308.45,284.89,284.89
2015-01-14,307.5,287.15,287.15
2015-01-15,315.2,289.70,289.70
2015-01-16,319.4,292.18,292.18
2015-01-19,308.85,293.46,293.46
2015-01-20,309.05,294.57,294.57
2015-01-21,300.85,294.99,294.99
2015-01-22,300.65,295.34,295.34
2015-01-23,306.15,295.98,295.98
2015-01-27,308.15,296.66,296.66
2015-01-28,312,297.46,297.46
2015-01-29,310.15,298.10,298.10
2015-01-30,308.15,299.66,298.58
2015-02-02,286.25,300.58,298.02
2015-02-03,285.6,301.30,297.48
2015-02-04,294.3,302.62,297.34
2015-02-05,293.1,303.35,297.17
2015-02-06,292.9,303.20,297.01
2015-02-09,294.45,303.09,296.91
2015-02-10,294.85,302.80,296.84
2015-02-11,301.2,302.44,296.99
2015-02-12,304.95,302.31,297.26
2015-02-13,307.45,301.92,297.59
2015-02-16,302.4,301.07,297.74
2015-02-18,301.25,300.69,297.84
2015-02-19,294.85,299.98,297.75
2015-02-20,295.3,299.70,297.68
2015-02-23,289.4,299.14,297.45
2015-02-24,269.8,297.32,296.71
2015-02-25,271.05,295.47,296.03
2015-02-26,270.5,293.40,295.38
2015-02-27,281.7,291.97,295.03
2015-02-28,277.95,290.46,294.62
2015-03-02,271.95,289.75,294.08
2015-03-03,293.2,290.13,294.06
2015-03-04,288.8,289.85,293.94
2015-03-05,291.85,289.79,293.89
2015-03-09,286.55,289.47,293.73
2015-03-10,294.9,289.50,293.76
2015-03-11,285.4,289.02,293.58
2015-03-12,289.75,288.45,293.51
2015-03-13,277.65,287.08,293.19
2015-03-16,274.15,285.42,293.13
2015-03-17,283.25,284.46,293.44
2015-03-18,278.75,283.34,293.59
2015-03-19,273,282.24,293.69
2015-03-20,268.4,280.90,293.49
2015-03-23,266.2,279.74,292.90
2015-03-24,259.7,279.24,292.16
2015-03-25,259.1,278.64,291.33
2015-03-26,266.05,278.42,290.48
2015-03-27,271.55,277.91,289.76
2015-03-30,266.25,277.32,288.78
2015-03-31,263.75,276.91,287.67
2015-04-01,255.15,275.01,286.59
2015-04-06,252.2,273.18,285.46
2015-04-07,255.4,271.36,284.55
2015-04-08,251.15,269.59,283.56
2015-04-09,250.7,267.38,282.45
2015-04-10,256.75,265.94,281.42
2015-04-13,255.15,264.21,280.29
2015-04-15,251.4,262.90,279.11
2015-04-16,244.65,261.43,277.84
2015-04-17,244.6,259.50,277.01
2015-04-20,233.75,257.24,275.97
2015-04-21,237.6,255.48,274.84
2015-04-22,237.95,253.95,273.73
2015-04-23,232.9,252.29,272.53
2015-04-24,232.1,250.91,271.29
2015-04-27,228.25,249.36,269.95
2015-04-28,227.55,247.44,268.48
2015-04-29,237.35,245.73,267.13
2015-04-30,235.6,244.20,265.69
2015-05-04,249.35,243.48,264.63
2015-05-05,240.4,242.74,263.41
2015-05-06,226,241.43,262.04
2015-05-07,216.15,239.47,260.45
2015-05-08,220.85,237.95,259.08
2015-05-11,227.2,236.78,258.23
2015-05-12,222.45,235.06,257.26
2015-05-13,219.8,233.30,256.24
2015-05-14,224.15,231.93,255.09
2015-05-15,221.4,230.77,253.96
2015-05-18,224.15,229.75,253.01
2015-05-19,222,229.16,251.58
2015-05-20,220.2,228.29,250.21
2015-05-21,229.95,227.89,248.97
2015-05-22,227.35,227.61,247.79
2015-05-25,230.15,227.51,246.49
2015-05-26,234.8,227.84,245.48
2015-05-27,235.95,228.26,244.41
2015-05-28,236.1,228.20,243.58
2015-05-29,237.95,228.32,242.85
2015-06-01,236,227.65,241.91
2015-06-02,225.9,226.92,240.85
2015-06-03,221.4,226.70,239.82
2015-06-04,226.55,227.21,238.98
2015-06-05,223.5,227.35,238.13
2015-06-08,219.1,226.94,237.31
2015-06-09,218.8,226.76,236.51
2015-06-10,224,226.97,235.67
2015-06-11,226.5,227.09,234.77
2015-06-12,225.1,227.27,233.94
2015-06-15,228.15,227.47,233.23
2015-06-16,228.45,227.80,232.70
2015-06-17,231.8,228.38,232.29
2015-06-18,231.9,228.47,231.82
2015-06-19,239.85,229.10,231.59
2015-06-22,244.9,229.83,231.48
2015-06-23,242.85,230.24,231.20
2015-06-24,240.35,230.46,230.90
2015-06-25,238.9,230.60,230.65
2015-06-26,245.1,230.96,230.66
2015-06-29,241.6,231.24,230.60
2015-06-30,243.75,232.13,230.80
2015-07-01,245.55,233.34,230.96
2015-07-02,257.25,234.87,231.35
2015-07-03,257.5,236.57,231.84
2015-07-06,264.4,238.83,232.48
2015-07-07,270.15,241.40,233.32
2015-07-08,265,243.45,234.07
2015-07-09,259.25,245.09,234.51
2015-07-10,256.95,246.68,234.94
2015-07-13,270.65,248.81,235.36
2015-07-14,266.3,250.70,235.88
2015-07-15,268.25,252.52,236.73
2015-07-16,266.55,254.26,237.73
2015-07-17,263.35,255.43,238.58
2015-07-20,263.8,256.38,239.32
2015-07-21,257.95,257.13,240.03
2015-07-22,264,258.31,240.91
2015-07-23,263.35,259.54,241.69
2015-07-24,251.45,259.85,242.30
2015-07-27,241.55,259.85,242.64
2015-07-28,232.55,259.29,242.85
2015-07-29,235,258.76,243.15
2015-07-30,235.95,257.70,243.27
2015-07-31,237.95,256.72,243.48
